Year,Month,Day,Precipitation
2016,3,29,0.0
2016,3,30,0.0
2016,3,31,0.0
2016,4,1,0.0
2016,4,2,0.0
2016,4,3,0.0
2016,4,4,0.0
2016,4,5,0.0
2016,4,6,0.0
2016,4,7,0.0
2016,4,8,0.0
2016,4,9,0.0
2016,4,10,0.0
2016,4,11,0.0
2016,4,12,0.0
2016,4,13,0.0
2016,4,14,0.0
2016,4,15,0.0
2016,4,16,0.0
2016,4,17,0.0
2016,4,18,0.0
2016,4,19,0.0
2016,4,20,0.0
2016,4,21,0.0
2016,4,22,0.0
2016,4,23,0.0
2016,4,24,0.0
2016,4,25,0.0
2016,4,26,0.6000000000000001
2016,4,27,6.2
2016,4,28,0.0
2016,4,29,0.4
2016,4,30,0.0
2016,5,1,0.0
2016,5,2,0.0
2016,5,3,0.0
2016,5,4,0.0
2016,5,5,0.0
2016,5,6,0.0
2016,5,7,0.0
2016,5,8,0.0
2016,5,9,0.0
2016,5,10,10.2
2016,5,11,0.2
2016,5,12,0.0
2016,5,13,0.0
2016,5,14,0.0
2016,5,15,0.0
2016,5,16,6.2
2016,5,17,30.0
2016,5,18,0.0
2016,5,19,0.0
2016,5,20,0.0
2016,5,21,20.200000000000003
2016,5,22,19.6
2016,5,23,0.8
2016,5,24,0.0
2016,5,25,0.0
2016,5,26,0.0
2016,5,27,0.0
2016,5,28,0.0
2016,5,29,0.0
2016,5,30,0.0
2016,5,31,0.4
2016,6,1,19.6
2016,6,2,0.0
2016,6,3,0.2
2016,6,4,0.0
2016,6,5,0.0
2016,6,6,23.0
2016,6,7,37.0
2016,6,8,0.0
2016,6,9,0.0
2016,6,10,0.0
2016,6,11,0.0
2016,6,12,0.0
2016,6,13,0.0
2016,6,14,0.0
2016,6,15,0.0
2016,6,16,0.0
2016,6,17,0.0
2016,6,18,0.0
2016,6,19,0.0
2016,6,20,0.0
2016,6,21,0.0
2016,6,22,0.0
2016,6,23,0.0
2016,6,24,0.0
2016,6,25,0.0
2016,6,26,0.0
2016,6,27,0.0
2016,6,28,0.0
2016,6,29,0.0
2016,6,30,0.0
2016,7,6,0.0
2016,7,7,0.0
2016,7,8,0.0
2016,7,9,0.0
2016,7,10,0.0
2016,7,11,0.0
2016,7,12,0.0
2016,7,13,0.0
2016,7,14,0.0
2016,7,15,0.0
2016,7,16,2.0
2016,7,17,0.2
2016,7,18,0.0
2016,7,19,0.0
2016,7,20,0.0
2016,7,21,0.0
2016,7,22,0.0
2016,7,23,0.0
2016,7,24,0.0
2016,7,25,0.0
2016,7,26,0.0
2016,7,27,0.0
2016,7,28,0.0
2016,7,29,0.0
2016,7,30,0.0
2016,7,31,0.0
2016,8,1,0.0
2016,8,2,0.0
2016,8,3,0.0
2016,8,4,0.0
2016,8,5,0.0
2016,8,6,0.0
2016,8,7,0.0
2016,8,8,0.0
2016,8,9,0.0
2016,8,10,0.0
2016,8,11,0.0
2016,8,12,0.0
2016,8,13,0.0
2016,8,14,0.0
2016,8,15,1.2
2016,8,16,0.6000000000000001
2016,8,17,0.0
2016,8,18,0.0
2016,8,19,0.0
2016,8,20,4.8
2016,8,21,13.0
2016,8,22,1.8
2016,8,23,5.6000000000000005
2016,8,24,0.4
2016,8,25,0.0
2016,8,26,0.0
2016,8,27,0.0
2016,8,28,0.0
2016,8,29,0.0
2016,8,30,0.0
2016,8,31,12.2
2016,9,1,0.0
2016,9,2,0.0
2016,9,3,0.0
2016,9,4,0.0
2016,9,5,0.0
2016,9,6,0.0
2016,9,7,0.0
2016,9,8,8.0
2016,9,9,0.2
2016,9,10,0.0
2016,9,11,0.0
2016,9,12,0.0
2016,9,13,0.0
2016,9,14,0.0
2016,9,15,0.0
2016,9,16,0.0
2016,9,17,0.0
2016,9,18,0.0
2016,9,19,1.4000000000000001
2016,9,20,0.0
2016,9,21,0.0
2016,9,22,0.0
2016,9,23,0.0
2016,9,24,0.0
2016,9,25,0.0
2016,9,26,0.0
2016,9,27,0.0
2016,9,28,0.0
2016,9,29,0.0
2016,9,30,0.0
2016,10,1,0.0
2016,10,2,0.0
2016,10,3,0.0
2016,10,4,2.6
2016,10,5,0.0
2016,10,6,0.0
2016,10,7,0.0
2016,10,8,0.0
2016,10,9,0.0
2016,10,10,0.0
2016,10,11,6.6000000000000005
2016,10,12,21.8
2016,10,13,0.0
2016,10,14,0.6000000000000001
2016,10,15,1.4000000000000001
2016,10,16,1.2000000000000002
2016,10,17,0.2
2016,10,18,0.0
2016,10,19,0.0
2016,10,20,1.0
2016,10,21,12.200000000000001
2016,10,22,0.0
2016,10,23,0.0
2016,10,24,0.0
2016,10,25,0.0
2016,10,26,0.0
2016,10,27,0.0
2016,10,28,0.0
2016,10,29,0.0
2016,10,30,0.0
2016,10,31,0.0
2016,11,1,0.0
2016,11,2,0.0
2016,11,3,0.0
2016,11,4,1.2000000000000002
2016,11,5,0.2
2016,11,6,0.0
2016,11,7,2.0
2016,11,8,3.0
2016,11,9,1.2000000000000002
2016,11,10,27.6
2016,11,11,0.0
2016,11,12,0.0
2016,11,13,0.0
2016,11,14,1.2000000000000002
2016,11,15,0.0
2016,11,16,0.0
2016,11,17,0.0
2016,11,18,0.0
2016,11,19,0.0
2016,11,20,0.0
2016,11,21,0.0
2016,11,22,0.0
2016,11,23,0.0
2016,11,24,0.0
2016,11,25,0.0
2016,11,26,0.0
2016,11,27,0.0
2016,11,28,0.0
2016,11,29,0.0
2016,11,30,0.0
2016,12,1,0.0
2016,12,2,0.0
2016,12,3,0.2
2016,12,4,1.2000000000000002
2016,12,5,2.4000000000000004
2016,12,6,2.4000000000000004
2016,12,7,7.2
2016,12,8,0.4
2016,12,9,2.2
2016,12,10,0.2
2016,12,11,2.2
2016,12,12,12.8
2016,12,13,2.0
2016,12,14,3.8000000000000003
2016,12,15,1.6
2016,12,16,0.6000000000000001
2016,12,17,0.2
2016,12,18,0.0
2016,12,19,0.0
2016,12,20,0.2
2016,12,21,0.0
2016,12,22,0.0
2016,12,23,0.0
2016,12,24,0.0
2016,12,25,0.0
2016,12,26,0.2
2016,12,27,0.6000000000000001
2016,12,28,9.8
2016,12,29,3.4000000000000004
2016,12,30,0.0
2016,12,31,0.0
2017,1,1,1.0
2017,1,2,0.0
2017,1,3,0.0
2017,1,4,0.0
2017,1,5,7.800000000000001
2017,1,6,0.0
2017,1,7,0.4
2017,1,8,0.0
2017,1,9,0.0
2017,1,10,1.8
2017,1,11,9.600000000000001
2017,1,12,0.4
2017,1,13,0.4
2017,1,14,4.4
2017,1,15,9.4
2017,1,16,0.0
2017,1,17,5.0
2017,1,18,38.0
2017,1,19,10.8
2017,1,20,9.200000000000001
2017,1,21,0.4
2017,1,22,0.0
2017,1,23,0.0
2017,1,24,0.0
2017,1,25,0.0
2017,1,26,0.6000000000000001
2017,1,27,4.4
2017,1,28,0.2
2017,1,29,0.0
2017,1,30,0.0
2017,1,31,0.0
2017,2,1,0.0
2017,2,2,0.4
2017,2,3,0.0
2017,2,4,0.0
2017,2,5,0.0
2017,2,6,0.0
2017,2,7,0.0
2017,2,8,0.0
2017,2,9,0.0
2017,2,10,0.0
2017,2,11,0.0
2017,2,12,0.0
2017,2,13,0.0
2017,2,14,0.0
2017,2,15,0.0
2017,2,16,0.0
2017,2,17,4.4
2017,2,18,32.8
2017,2,19,0.0
2017,2,20,0.0
2017,2,21,0.0
2017,2,22,0.0
2017,2,23,0.0
2017,2,24,0.0
2017,2,25,16.8
2017,2,26,4.4
2017,2,27,1.2000000000000002
2017,2,28,0.0
2017,3,1,13.200000000000001
2017,3,2,15.8
2017,3,3,2.0
2017,3,4,1.4000000000000001
2017,3,5,33.4
2017,3,6,71.2
2017,3,7,0.2
2017,3,8,0.4
2017,3,9,0.2
2017,3,10,0.0
2017,3,11,0.0
2017,3,12,0.0
2017,3,13,0.0
2017,3,14,0.0
2017,3,15,11.4
2017,3,16,0.2
2017,3,17,0.0
2017,3,18,2.6
2017,3,19,3.8000000000000003
2017,3,20,0.0
2017,3,21,0.0
2017,3,22,0.0
2017,3,23,0.0
2017,3,24,0.0
2017,3,25,0.0
2017,3,26,0.0
2017,3,27,0.0
2017,3,28,0.0
2017,3,29,0.0
2017,3,30,0.0
2017,3,31,0.0
2017,4,1,0.0
2017,4,2,0.0
2017,4,3,0.0
2017,4,4,0.0
2017,4,5,0.0
2017,4,6,34.6
2017,4,7,3.4
2017,4,8,0.0
2017,4,9,0.0
2017,4,10,0.0
2017,4,11,5.8
2017,4,12,0.0
2017,4,13,0.0
2017,4,14,0.0
2017,4,15,0.0
2017,4,16,0.0
2017,4,17,0.0
2017,4,18,0.0
2017,4,19,0.0
2017,4,20,0.0
2017,4,21,39.6
2017,4,22,1.0
2017,4,23,0.0
2017,4,24,0.0
2017,4,25,0.0
2017,4,26,18.0
2017,4,27,1.2000000000000002
2017,4,28,0.0
2017,4,29,0.0
2017,4,30,0.0
2017,5,1,0.0
2017,5,2,0.0
2017,5,3,0.0
2017,5,4,0.0
2017,5,5,8.2
2017,5,6,6.3999999999999995
2017,5,7,0.0
2017,5,8,0.0
2017,5,9,0.0
2017,5,10,0.0
2017,5,11,0.0
2017,5,12,0.0
2017,5,13,0.0
2017,5,14,4.8
2017,5,15,0.0
2017,5,16,0.0
2017,5,17,0.0
2017,5,18,13.200000000000001
2017,5,19,84.4
2017,5,20,5.0
2017,5,21,38.6
2017,5,22,13.0
2017,5,23,0.0
2017,5,24,0.0
2017,5,25,0.0
2017,5,26,0.0
2017,5,27,0.0
2017,5,28,0.0
2017,5,29,0.0
2017,5,30,0.0
2017,5,31,0.0
2017,6,1,0.0
2017,6,2,0.0
2017,6,3,0.0
2017,6,4,0.0
2017,6,5,0.0
2017,6,6,0.0
2017,6,7,0.0
2017,6,8,0.0
2017,6,9,1.8
2017,6,10,0.2
2017,6,11,0.0
2017,6,12,1.0
2017,6,13,4.0
2017,6,14,0.8
2017,6,15,0.0
2017,6,16,0.0
2017,6,17,0.0
2017,6,18,0.0
2017,6,19,0.0
2017,6,20,0.0
2017,6,21,0.0
2017,6,22,0.0
2017,6,23,0.0
2017,6,24,0.0
2017,6,25,0.0
2017,6,26,0.0
2017,6,27,0.0
2017,6,28,0.0
2017,6,29,0.0
2017,6,30,0.0
2017,7,1,0.0
2017,7,2,0.0
2017,7,3,0.0
2017,7,4,0.0
2017,7,5,0.0
2017,7,6,0.0
2017,7,7,0.0
2017,7,8,0.0
2017,7,9,0.0
2017,7,10,0.0
2017,7,11,0.0
2017,7,12,0.0
2017,7,13,0.0
2017,7,14,0.0
2017,7,15,0.0
2017,7,16,0.0
2017,7,17,0.0
2017,7,18,0.0
2017,7,19,0.0
2017,7,20,0.0
2017,7,21,0.0
2017,7,22,0.0
2017,7,23,0.0
2017,7,24,0.0
2017,7,25,0.0
2017,7,26,0.0
2017,7,27,0.0
2017,7,28,0.0
2017,7,29,0.0
2017,7,30,0.0
2017,7,31,0.0
2017,8,1,0.0
2017,8,2,0.0
2017,8,3,0.0
2017,8,4,0.0
2017,8,5,0.0
2017,8,6,0.0
2017,8,7,0.0
2017,8,8,0.0
2017,8,9,0.0
2017,8,10,0.0
2017,8,11,0.0
2017,8,12,0.0
2017,8,13,0.0
2017,8,14,0.0
2017,8,15,0.0
2017,8,16,2.0
2017,8,17,1.6
2017,8,18,9.6
2017,8,19,0.6000000000000001
2017,8,20,3.6
2017,8,21,1.8
2017,8,22,0.0
2017,8,23,0.0
2017,8,24,0.0
2017,8,25,0.0
2017,8,26,0.0
2017,8,27,0.0
2017,8,28,0.0
2017,8,29,0.0
2017,8,30,0.0
2017,8,31,0.0
2017,9,1,0.0
2017,9,2,0.0
2017,9,3,0.0
2017,9,4,0.0
2017,9,5,0.0
2017,9,6,0.0
2017,9,7,0.0
2017,9,8,0.0
2017,9,9,0.0
2017,9,10,0.0
2017,9,11,0.0
2017,9,12,0.0
2017,9,13,0.0
2017,9,14,0.0
2017,9,15,0.0
2017,9,16,0.0
2017,9,17,0.0
2017,9,18,0.0
2017,9,19,0.0
2017,9,20,0.0
2017,9,21,0.0
2017,9,22,0.0
2017,9,23,0.0
2017,9,24,0.0
2017,9,25,0.0
2017,9,26,0.0
2017,9,27,0.0
2017,9,28,0.0
2017,9,29,29.2
2017,9,30,35.6
2017,10,1,0.6000000000000001
2017,10,2,20.0
2017,10,3,0.8
2017,10,4,0.0
2017,10,5,0.0
2017,10,6,0.0
2017,10,7,1.0
2017,10,8,0.0
2017,10,9,0.0
2017,10,10,0.0
2017,10,11,4.3999999999999995
2017,10,12,0.0
2017,10,13,0.0
2017,10,14,0.0
2017,10,15,0.0
2017,10,16,0.0
2017,10,17,0.0
2017,10,18,0.0
2017,10,19,0.0
2017,10,20,0.0
2017,10,21,0.0
2017,10,22,8.4
2017,10,23,0.4
2017,10,24,0.0
2017,10,25,0.0
2017,10,26,8.0
2017,10,27,50.6
2017,10,28,2.6
2017,10,29,30.8
2017,10,30,13.0
2017,10,31,0.0
2017,11,1,0.0
2017,11,2,0.0
2017,11,3,3.4
2017,11,4,71.8
2017,11,5,6.6000000000000005
2017,11,6,0.0
2017,11,7,0.0
2017,11,8,0.0
2017,11,9,31.2
2017,11,10,15.799999999999999
2017,11,11,28.0
2017,11,12,0.0
2017,11,13,0.0
2017,11,14,0.0
2017,11,15,0.0
2017,11,16,0.0
2017,11,17,9.4
2017,11,18,4.8
2017,11,19,21.2
2017,11,20,0.8
2017,11,21,24.2
2017,11,22,42.800000000000004
2017,11,23,0.0
2017,11,24,0.0
2017,11,25,0.0
2017,11,26,5.4
2017,11,27,0.4
2017,11,28,0.0
2017,11,29,0.0
2017,11,30,26.2
2017,12,1,3.8000000000000003
2017,12,2,1.0
2017,12,3,0.0
2017,12,4,0.0
2017,12,5,0.0
2017,12,6,1.6
2017,12,7,14.4
2017,12,8,5.8
2017,12,9,1.2
2017,12,10,0.0
2017,12,11,0.0
2017,12,12,1.2000000000000002
2017,12,13,0.0
2017,12,14,0.0
2017,12,15,4.0
2017,12,16,0.0
2017,12,17,0.0
2017,12,18,0.0
2017,12,19,7.0
2017,12,20,3.2
2017,12,21,14.6
2017,12,22,4.6000000000000005
2017,12,23,4.0
2017,12,24,0.0
2017,12,25,5.0
2017,12,26,2.6
2017,12,27,0.8
2017,12,28,0.0
2017,12,29,50.6
2017,12,30,24.8
2017,12,31,34.6
2018,1,1,0.0
2018,1,2,17.6
2018,1,3,19.6
2018,1,4,1.8
2018,1,5,0.0
2018,1,6,0.8
2018,1,7,9.4
2018,1,8,5.6000000000000005
2018,1,9,1.2000000000000002
2018,1,10,11.6
2018,1,11,15.6
2018,1,12,7.4
2018,1,13,34.0
2018,1,14,2.2
2018,1,15,0.6000000000000001
2018,1,16,1.6
2018,1,17,0.0
2018,1,18,1.0
2018,1,19,0.0
2018,1,20,0.0
2018,1,21,0.0
2018,1,22,0.0
2018,1,23,0.0
2018,1,24,3.8000000000000003
2018,1,25,12.0
2018,1,26,2.6
2018,1,27,0.6000000000000001
2018,1,28,32.800000000000004
2018,1,29,10.6
2018,1,30,25.4
2018,1,31,0.0
2018,2,1,0.0
2018,2,2,0.0
2018,2,3,0.0
2018,2,4,0.0
2018,2,5,0.0
2018,2,6,0.2
2018,2,7,0.0
2018,2,8,0.0
2018,2,9,0.0
2018,2,10,0.0
2018,2,11,0.0
2018,2,12,0.0
2018,2,13,0.0
2018,2,14,48.6
2018,2,15,0.0
2018,2,16,14.200000000000001
2018,2,17,0.6000000000000001
2018,2,18,6.4
2018,2,19,13.399999999999999
2018,2,20,9.200000000000001
2018,2,21,1.8
2018,2,22,0.0
2018,2,23,0.0
2018,2,24,0.0
2018,2,25,0.0
2018,2,26,25.2
2018,2,27,23.8
2018,2,28,0.0
2018,3,1,9.6
2018,3,2,0.0
2018,3,3,1.6
2018,3,4,0.0
2018,3,5,0.0
2018,3,6,0.0
2018,3,7,15.8
2018,3,8,3.0
2018,3,9,0.8
2018,3,10,20.8
2018,3,11,0.4
2018,3,12,0.0
2018,3,13,0.0
2018,3,14,0.0
2018,3,15,0.0
2018,3,16,15.4
2018,3,17,1.6
2018,3,18,0.4
2018,3,19,13.6
2018,3,20,68.6
2018,3,21,48.0
2018,3,22,37.800000000000004
2018,3,23,24.6
2018,3,24,0.0
2018,3,25,0.0
2018,3,26,0.0
2018,3,27,2.8
2018,3,28,0.0
2018,3,29,12.0
2018,3,30,0.2
2018,3,31,2.6
2018,4,1,0.2
2018,4,2,0.2
2018,4,3,0.0
2018,4,4,0.2
2018,4,5,0.0
2018,4,6,0.0
2018,4,7,0.0
2018,4,8,0.0
2018,4,9,0.0
2018,4,10,0.0
2018,4,11,0.0
2018,4,12,0.0
2018,4,13,0.0
2018,4,14,0.0
2018,4,15,0.0
2018,4,16,0.0
2018,4,17,0.0
2018,4,18,0.0
2018,4,19,0.0
2018,4,20,0.0
2018,4,21,0.0
2018,4,22,0.0
2018,4,23,0.0
2018,4,24,0.0
2018,4,25,0.0
2018,4,26,0.0
2018,4,27,0.0
2018,4,28,0.0
2018,4,29,0.0
2018,4,30,0.0
2018,5,1,0.0
2018,5,2,0.0
2018,5,3,0.0
2018,5,4,0.0
2018,5,5,0.0
2018,5,6,1.4000000000000001
2018,5,7,0.0
2018,5,8,0.0
2018,5,9,0.0
2018,5,10,0.0
2018,5,11,0.0
2018,5,12,0.0
2018,5,13,0.0
2018,5,14,0.0
2018,5,15,0.0
2018,5,16,0.0
2018,5,17,0.0
2018,5,18,0.0
2018,5,19,0.0
2018,5,20,0.0
2018,5,21,0.0
2018,5,22,0.0
2018,5,23,0.0
2018,5,24,0.0
2018,5,25,0.0
2018,5,26,0.0
2018,5,27,0.0
2018,5,28,0.0
2018,5,29,0.0
2018,5,30,0.0
2018,5,31,0.0
2018,6,1,0.0
2018,6,2,0.0
2018,6,3,0.0
2018,6,4,0.0
2018,6,5,0.0
2018,6,6,0.0
2018,6,7,0.0
2018,6,8,0.0
2018,6,9,0.0
2018,6,10,0.0
2018,6,11,0.0
2018,6,12,0.0
2018,6,13,0.4
2018,6,14,0.0
2018,6,15,0.0
2018,6,16,0.0
2018,6,17,0.0
2018,6,18,0.0
2018,6,19,0.0
2018,6,20,0.0
2018,6,21,0.0
2018,6,22,0.0
2018,6,23,0.0
2018,6,24,0.0
2018,6,25,0.0
2018,6,26,0.0
2018,6,27,0.0
2018,6,28,0.0
2018,6,29,0.0
2018,6,30,0.0
2018,7,1,0.0
2018,7,2,0.0
2018,7,3,0.0
2018,7,4,0.0
2018,7,5,0.0
2018,7,6,0.0
2018,7,7,0.0
2018,7,8,0.0
2018,7,9,0.0
2018,7,10,0.2
2018,7,11,0.0
2018,7,12,0.0
2018,7,13,0.0
2018,7,14,0.0
2018,7,15,0.0
2018,7,16,0.0
2018,7,17,0.0
2018,7,18,0.0
2018,7,19,0.0
2018,7,20,0.0
2018,7,21,0.0
2018,7,22,0.0
2018,7,23,0.0
2018,7,24,0.0
2018,7,25,0.0
2018,7,26,0.0
2018,7,27,0.0
2018,7,28,0.0
2018,7,29,0.0
2018,7,30,0.0
2018,7,31,2.4
2018,8,1,0.0
2018,8,2,0.0
2018,8,3,0.0
2018,8,4,0.0
2018,8,5,0.0
2018,8,6,0.2
2018,8,7,0.0
2018,8,8,0.0
2018,8,9,0.0
2018,8,10,0.2
2018,8,11,0.0
2018,8,12,0.0
2018,8,13,0.0
2018,8,14,0.0
2018,8,15,0.0
2018,8,16,0.0
2018,8,17,0.0
2018,8,18,0.0
2018,8,19,0.0
2018,8,20,0.0
2018,8,21,0.0
2018,8,22,0.0
2018,8,23,0.0
2018,8,24,0.0
2018,8,25,7.6000000000000005
2018,8,26,0.0
2018,8,27,0.0
2018,8,28,0.0
2018,8,29,0.0
2018,8,30,0.0
2018,8,31,0.0
2018,9,1,0.0
2018,9,2,0.0
2018,9,3,0.0
2018,9,4,0.0
2018,9,5,0.0
2018,9,6,0.0
2018,9,7,0.0
2018,9,8,0.0
2018,9,9,0.0
2018,9,10,0.0
2018,9,11,0.0
2018,9,12,0.0
2018,9,13,0.0
2018,9,14,19.0
2018,9,15,1.0
2018,9,16,0.0
2018,9,17,15.4
2018,9,18,2.4
2018,9,19,0.2
2018,9,20,14.8
2018,9,21,0.4
2018,9,22,0.0
2018,9,23,0.0
2018,9,24,0.0
2018,9,25,1.2000000000000002
2018,9,26,0.0
2018,9,27,0.2
2018,9,28,0.4
2018,9,29,0.0
2018,9,30,1.4000000000000001
2018,10,1,0.0
2018,10,2,3.4
2018,10,3,1.0
2018,10,4,1.4000000000000001
2018,10,5,0.0
2018,10,6,0.0
2018,10,7,0.4
2018,10,8,16.4
2018,10,9,12.8
2018,10,10,58.6
2018,10,11,1.8
2018,10,12,2.0
2018,10,13,0.2
2018,10,14,0.2
2018,10,15,21.2
2018,10,16,0.2
2018,10,17,58.6
2018,10,18,24.4
2018,10,19,22.599999999999998
2018,10,20,0.0
2018,10,21,0.0
2018,10,22,0.0
2018,10,23,0.0
2018,10,24,9.4
2018,10,25,17.8
2018,10,26,2.0
2018,10,27,5.2
2018,10,28,0.2
2018,10,29,0.0
2018,10,30,0.0
2018,10,31,0.0
2018,11,1,0.0
2018,11,2,0.0
2018,11,3,7.6
2018,11,4,2.4
2018,11,5,0.0
2018,11,6,0.0
2018,11,7,0.0
2018,11,8,10.0
2018,11,9,0.4
2018,11,10,17.4
2018,11,11,0.2
2018,11,12,0.0
2018,11,13,0.0
2018,11,14,11.4
2018,11,15,0.0
2018,11,16,0.0
2018,11,17,0.0
2018,11,18,2.0
2018,11,19,27.2
2018,11,20,0.4
2018,11,21,0.0
2018,11,22,6.6
2018,11,23,1.6
2018,11,24,31.0
2018,11,25,9.0
2018,11,26,0.0
2018,11,27,0.0
2018,11,28,0.0
2018,11,29,0.0
2018,11,30,2.4
2018,12,1,16.0
2018,12,2,11.799999999999999
2018,12,3,0.0
2018,12,4,0.0
2018,12,5,0.0
2018,12,6,0.0
2018,12,7,0.0
2018,12,8,0.0
2018,12,9,0.0
2018,12,10,0.0
2018,12,11,0.0
2018,12,12,0.0
2018,12,13,0.0
2018,12,14,10.0
2018,12,15,2.6
2018,12,16,0.0
2018,12,17,0.0
2018,12,18,0.8
2018,12,19,9.6
2018,12,20,0.0
2018,12,21,0.0
2018,12,22,0.0
2018,12,23,16.6
2018,12,24,7.0
2018,12,25,1.2000000000000002
2018,12,26,12.4
2018,12,27,0.0
2018,12,28,7.0
2018,12,29,5.0
2018,12,30,1.0
2018,12,31,0.2
2019,1,1,18.8
2019,1,2,0.0
2019,1,3,2.8
2019,1,4,1.0
2019,1,5,31.8
2019,1,6,13.6
2019,1,7,0.2
2019,1,8,0.0
2019,1,9,0.0
2019,1,10,0.0
2019,1,11,0.0
2019,1,12,8.200000000000001
2019,1,13,0.0
2019,1,14,7.4
2019,1,15,23.4
2019,1,16,3.2
2019,1,17,0.4
2019,1,18,0.0
2019,1,19,9.6
2019,1,20,0.0
2019,1,21,0.0
2019,1,22,5.2
2019,1,23,0.0
2019,1,24,1.0
2019,1,25,24.599999999999998
2019,1,26,0.4
2019,1,27,0.0
2019,1,28,0.0
2019,1,29,0.0
2019,1,30,0.0
2019,1,31,0.0
2019,2,1,0.0
2019,2,2,37.0
2019,2,3,0.0
2019,2,4,36.2
2019,2,5,0.0
2019,2,6,6.2
2019,2,7,9.200000000000001
2019,2,8,0.0
2019,2,9,0.0
2019,2,10,0.0
2019,2,11,6.0
2019,2,12,4.6000000000000005
2019,2,13,0.2
2019,2,14,0.0
2019,2,15,0.2
2019,2,16,0.0
2019,2,17,0.2
2019,2,18,0.0
2019,2,19,0.0
2019,2,20,0.0
2019,2,21,0.0
2019,2,22,0.0
2019,2,23,0.0
2019,2,24,0.0
2019,2,25,0.0
2019,2,26,0.0
2019,2,27,0.0
2019,2,28,0.0
2019,3,1,0.0
2019,3,2,0.0
2019,3,3,0.0
2019,3,4,0.0
2019,3,5,0.0
2019,3,6,0.0
2019,3,7,0.0
2019,3,8,0.0
2019,3,9,0.0
2019,3,10,0.0
2019,3,11,0.0
2019,3,12,0.0
2019,3,13,0.0
2019,3,14,0.0
2019,3,15,0.0
2019,3,16,0.0
2019,3,17,0.0
2019,3,18,0.0
2019,3,19,0.0
2019,3,20,0.0
2019,3,21,0.0
2019,3,22,0.0
2019,3,23,0.0
2019,3,24,0.0
2019,3,25,0.0
2019,3,26,0.0
2019,3,27,0.0
2019,3,28,0.0
2019,3,29,0.0
2019,3,30,0.0
2019,3,31,0.0
2019,4,1,0.0
2019,4,2,0.0
2019,4,3,0.0
2019,4,4,0.0
2019,4,5,4.4
2019,4,6,0.0
2019,4,7,0.0
2019,4,8,0.0
2019,4,9,0.0
2019,4,10,0.0
2019,4,11,0.0
2019,4,12,0.0
2019,4,13,0.0
2019,4,14,0.0
2019,4,15,0.0
2019,4,16,0.0
2019,4,17,0.0
2019,4,18,0.0
2019,4,19,0.0
2019,4,20,0.0
2019,4,21,0.0
2019,4,22,0.0
2019,4,23,0.0
2019,4,24,0.0
2019,4,25,0.0
2019,4,26,0.0
2019,4,27,0.0
2019,4,28,0.0
2019,4,29,0.0
2019,4,30,0.0
2019,5,1,0.0
2019,5,2,0.0
2019,5,3,0.0
2019,5,4,0.0
2019,5,5,0.0
2019,5,6,0.0
2019,5,7,0.0
2019,5,8,0.0
2019,5,9,0.0
2019,5,10,0.0
2019,5,11,0.0
2019,5,12,0.0
2019,5,13,0.0
2019,5,14,0.0
2019,5,15,0.0
2019,5,16,0.0
2019,5,17,0.0
2019,5,18,0.0
2019,5,19,0.0
2019,5,20,0.0
2019,5,21,0.0
2019,5,22,0.0
2019,5,23,0.0
2019,5,24,0.0
2019,5,25,0.0
2019,5,26,0.0
2019,5,27,0.0
2019,5,28,0.0
2019,5,29,0.0
